op,op_type,source_path,load_time_deps,runtime_deps,dependency_groups,notes
entity_attribute_aggregator,aggregator,data_juicer/ops/aggregator/entity_attribute_aggregator.py,loguru; pydantic,,core,
meta_tags_aggregator,aggregator,data_juicer/ops/aggregator/meta_tags_aggregator.py,loguru; pydantic,,core,
most_relevant_entities_aggregator,aggregator,data_juicer/ops/aggregator/most_relevant_entities_aggregator.py,loguru; numpy; pydantic,,core,
nested_aggregator,aggregator,data_juicer/ops/aggregator/nested_aggregator.py,loguru; pydantic,,core,
document_deduplicator,deduplicator,data_juicer/ops/deduplicator/document_deduplicator.py,regex,,core,
document_minhash_deduplicator,deduplicator,data_juicer/ops/deduplicator/document_minhash_deduplicator.py,loguru; numpy; pydantic; regex; tqdm; typing-extensions,scipy,core; undeclared_or_transitive,
document_minhash_deduplicator_with_uid,deduplicator,data_juicer/ops/deduplicator/document_minhash_deduplicator.py,loguru; numpy; pydantic; regex; tqdm; typing-extensions,scipy,core; undeclared_or_transitive,
document_simhash_deduplicator,deduplicator,data_juicer/ops/deduplicator/document_simhash_deduplicator.py,loguru; numpy; pydantic; regex,simhash-pybind,core; nlp,
image_deduplicator,deduplicator,data_juicer/ops/deduplicator/image_deduplicator.py,numpy,imagededup,core; vision,
ray_bts_minhash_cpp_deduplicator,deduplicator,data_juicer/ops/deduplicator/ray_bts_minhash_cpp_deduplicator.py,loguru; numpy; pyarrow; pydantic; regex; typing-extensions,ray,core; undeclared_or_transitive,
ray_bts_minhash_deduplicator,deduplicator,data_juicer/ops/deduplicator/ray_bts_minhash_deduplicator.py,loguru; numpy; pyarrow; pydantic; regex; typing-extensions,ray,core; undeclared_or_transitive,
ray_bts_minhash_deduplicator_with_uid,deduplicator,data_juicer/ops/deduplicator/ray_bts_minhash_deduplicator.py,loguru; numpy; pyarrow; pydantic; regex; typing-extensions,ray,core; undeclared_or_transitive,
ray_document_deduplicator,deduplicator,data_juicer/ops/deduplicator/ray_document_deduplicator.py,regex,,core,
ray_image_deduplicator,deduplicator,data_juicer/ops/deduplicator/ray_image_deduplicator.py,numpy,imagededup,core; vision,
ray_video_deduplicator,deduplicator,data_juicer/ops/deduplicator/ray_video_deduplicator.py,,,,
video_deduplicator,deduplicator,data_juicer/ops/deduplicator/video_deduplicator.py,,,,
alphanumeric_filter,filter,data_juicer/ops/filter/alphanumeric_filter.py,,,,
audio_duration_filter,filter,data_juicer/ops/filter/audio_duration_filter.py,numpy,librosa; librosa>=0.10,audio; core,
audio_nmf_snr_filter,filter,data_juicer/ops/filter/audio_nmf_snr_filter.py,numpy; pydantic,librosa; librosa>=0.10,audio; core,
audio_size_filter,filter,data_juicer/ops/filter/audio_size_filter.py,numpy,,core,
average_line_length_filter,filter,data_juicer/ops/filter/average_line_length_filter.py,,,,
character_repetition_filter,filter,data_juicer/ops/filter/character_repetition_filter.py,numpy; pydantic,,core,
flagged_words_filter,filter,data_juicer/ops/filter/flagged_words_filter.py,pydantic,,core,
general_field_filter,filter,data_juicer/ops/filter/general_field_filter.py,,,,
image_aesthetics_filter,filter,data_juicer/ops/filter/image_aesthetics_filter.py,loguru; numpy,torch,core; generic,
image_aspect_ratio_filter,filter,data_juicer/ops/filter/image_aspect_ratio_filter.py,numpy,,core,
image_face_count_filter,filter,data_juicer/ops/filter/image_face_count_filter.py,loguru; numpy,opencv-contrib-python,core; vision,
image_face_ratio_filter,filter,data_juicer/ops/filter/image_face_ratio_filter.py,loguru; numpy,opencv-contrib-python,core; vision,
